INCIDENT_NUMBER,UCR_CATEGORY,TYPE_OF_FIREARM,FIREARM_MANUFACTURER,FIREARM_MODEL,FIREARM_CALIBER,RECOVERY_DATE,ADDRESS_GEOCODE_TYPE,RECOVERY__ADDRESS,CITY,state,RECOVERY_ZIPCODE,PERSON_RECOVERED_FROM_RACE,PERSON_RECOVERED_FROM_SEX,PERSON_RECOVERED_FROM_AGE,Address_Concat,Longitude,Latitude,Confidence,Source
80-10-011494,Wpns Law Violation,"Pistol, Semi-automatic",Manurin S.A.,,765M,2010-02-17T00:00:00Z,BLOCK,9400 National Tpke,Louisville,KY,40118,White,M,44,9400 National Tpke Louisville KY 40118,-85.752898,38.125321,0.54,openaddresses
80-10-011506,Narcotics,"Shotgun, Pump Action",Remington Arms,Shotgun: Model,20GA,2010-02-17T00:00:00Z,BLOCK,4500 Landside Dr,Louisville,KY,40220,Black,M,19,4500 Landside Dr Louisville KY 40220,-85.620998,38.198673,1,openaddresses
80-10-011506,Narcotics,"Shotgun, Pump Action",Remington Arms,Shotgun: Model,20GA,2010-02-17T00:00:00Z,BLOCK,4500 Landside Dr,Louisville,KY,40220,Black,M,19,4500 Landside Dr Louisville KY 40220,-85.620998,38.198673,1,openaddresses
80-10-011506,Narcotics,"Shotgun, Pump Action",Remington Arms,Shotgun: Model,20GA,2010-02-17T00:00:00Z,BLOCK,4500 Landside Dr,Louisville,KY,40220,Black,M,19,4500 Landside Dr Louisville KY 40220,-85.620998,38.198673,1,openaddresses
80-10-011506,Narcotics,"Shotgun, Pump Action",Remington Arms,Shotgun: Model,20GA,2010-02-17T00:00:00Z,BLOCK,4500 Landside Dr,Louisville,KY,40220,Black,M,19,4500 Landside Dr Louisville KY 40220,-85.620998,38.198673,1,openaddresses
80-10-013628,Wpns Law Violation,"Pistol, Semi-automatic",Smith & Wesson,Sw40ve,40C,2010-02-25T00:00:00Z,BLOCK,2100 W Gaulbert Ave,Louisville,KY,40210,Black,M,26,2100 W Gaulbert Ave Louisville KY 40210,-85.793435,38.227871,1,openaddresses
80-10-014366,Wpns Law Violation,"Pistol, Semi-automatic",,,9MM,2010-02-28T00:00:00Z,BLOCK,600 W Jefferson St,Louisville,KY,40202,Null,NULL,NULL,600 W Jefferson St Louisville KY 40202,-85.761323,38.253961,1,openaddresses
80-10-015443,Theft Other,"Pistol, Semi-automatic","Glock, Inc.",Model 27 (40 Sw,40C,2010-03-05T00:00:00Z,BLOCK,9500 Preston Hwy,Louisville,KY,40229,White,F,23,9500 Preston Hwy Louisville KY 40229,-85.679636,38.112525,1,openaddresses
80-10-015699,Wpns Law Violation,Null,,,,2010-03-05T00:00:00Z,BLOCK,2100 W Oak St,Louisville,KY,40210,Black,F,29,2100 W Oak St Louisville KY 40210,-85.788854,38.237087,1,openaddresses
80-10-015699,Wpns Law Violation,Null,,,,2010-03-05T00:00:00Z,BLOCK,2100 W Oak St,Louisville,KY,40210,Black,F,29,2100 W Oak St Louisville KY 40210,-85.788854,38.237087,1,openaddresses
80-10-016246,Accidental Shooting,"Pistol, Semi-automatic",Taurus Internat,Model Pt-1911,45C,2010-03-08T00:00:00Z,BLOCK,9000 Delee Way,Louisville,KY,40219,White,M,28,9000 Delee Way Louisville KY 40219,-85.686569,38.119579,0.913,openaddresses
80-10-002355,Aggravated Assault,"Pistol, Semi-automatic",Lorcin Engineer,L-380 .380 Acp,380C,2010-01-11T00:00:00Z,BLOCK,400 S Campbell St,Louisville,KY,40204,Black,M,21,400 S Campbell St Louisville KY 40204,-85.736105,38.251119,0.728,openaddresses
80-09-099274,Aggravated Assault,"Pistol, Revolver",Ruger,,357C,2010-01-01T00:00:00Z,BLOCK,700 Heywood Ave,Louisville,KY,40208,Black,M,23,700 Heywood Ave Louisville KY 40208,-85.770429,38.20729,1,openaddresses
80-10-000954,Robbery,"Pistol, Revolver",Charter Arms Co,Undercover,38C,2010-01-05T00:00:00Z,BLOCK,600 W Jefferson St,Louisville,KY,40202,Null,NULL,NULL,600 W Jefferson St Louisville KY 40202,-85.761323,38.253961,1,openaddresses
